Constant   Base   Exp.   Coeff.   Minimum Log10(P)      Index   String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
pi         10     1      1        -3.1638856008895577   761     3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679821480865132823066470938446095505822317253594081284811174502841027019385211055596446229489549303819644288109756659334461284756482337867831652712019091456485669234603486104543266482133936072602491412737245870066063155881748815209209628292540917153643678925903600113305305488204665213841469519415116094330572703657595919530921861173819326117931051185480744623799627495673518857527248912279381830119491298336733624406566430860213949463952247371907021798609437027705392171762931767523846748184676694051320005681271452635608277857713427577896091736371787214684409012249534301465495853710507922796892589235420199561121290219608640344181598136297747713099605187072113499999983729780499510597317328160963185950244594553469083026425223082533446850352619311881710100031378387528865875332083814206171776691473035982534904287554687311595628638823537875937519577818577805321712268066130019278766111959092164201989380952572010654858632788659361533818279682303019520353018529689957736225994138912497217752834791315155748572424541506959508295331168617278558890750983817546374649393192550604009277016711390098488240128583616035637076601047101819429555961989467678374494482553797747268471040475346462080466842590694912933136770289891521047521620569660240580381501935112533824300355876402474964732639141992726042699227967823547816360093417216412199245863150302861829745557067498385054945885869269956909272107975093029553211653449872027559602364806654991198818347977535663698074265425278625518184175746728909777727938000816470600161452491921732172147723501414419735685481613611573525521334757418494684385233239073941433345477624168625189835694855620992192221842725502542568876717904946016534668049886272327917860857843838279679766814541009538837863609506800642251252051173929848960841284886269456042419652850222106611863067442786220391949450471237137869609563643719172874677646575739624138908658326459958133904780275900994657640789512694683983525957098258226205224894077267194782684826014769909026401363944374553050682034962524517493996514314298091906592509372216964615157098583874105978859597729754989301617539284681382686838689427741559918559252459539594310499725246808459872736446958486538367362226260991246080512438843904512441365497627807977156914359977001296160894416948685558484063534220722258284886481584560285003                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
pi         10     1      1/2      -3.1633163126563972   762     1.5707963267948966192313216916397514420985846996875529104874722961539082031431044993140174126710585339910740432566411533235469223047752911158626797040642405587251420513509692605527798223114744774651909822144054878329667230642378241168933915826356009545728242834617301743052271633241066968036301245706368622935033031577940874407604604814146270458576821839462951800056652652744102332606920734759707558047165286351828797959765460930586909663058965525592740372311899813747836759428763624456139690915059745649168366812203283215430106974731976123685953510899304718513852696085881465883761923374092338347025660002840635726317804138928856713788948045868185893607342204506124767150732747926855253961398446294617710099780560645109804320172090799068148873856549802593536056749999991864890249755298658664080481592975122297276734541513212611541266723425176309655940855050015689193764432937666041907103085888345736517991267452143777343655797814319411768937968759788909288902660856134033065009639383055979546082100994690476286005327429316394329680766909139841151509760176509264844978868112997069456248608876417395657577874286212270753479754147665584308639279445375491908773187324696596275302004638508355695049244120064291808017818538300523550909714777980994733839187247241276898873634235520237673231040233421295347456466568385144945760523760810284830120290190750967556266912150177938201237482366319570996363021349613983911773908180046708608206099622931575151430914872778533749192527472942934634978454636053987546514776605826724936013779801182403327495599409173988767831849037132712639312759092087873364454888863969000408235300080726245960866086073861750707209867842740806805786762760667378709247342192616619536970716672738812084312594917847427810496096110921362751271284438358952473008267334024943136163958930428921919139839883407270504769418931804753400321125626025586964924480420642443134728021209826425111053305931533721393110195974725235618568934804781821859586437338823287869812069454329163229979066952390137950497328820394756347341991762978549129113102612447038633597391342413007384954513200681972187276525341017481262258746998257157149045953296254686108482307578549291937052989429798864877494650808769642340691343419344713870779959279626229769797155249862623404229936368223479243269183681113130495623040256219421952256220682748813903988578457179988500648080447208474342779242031767110361129142443240792280142502                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
pi         10     1      2        -4.164324011304447    760     6.2831853071795864769252867665590057683943387987502116419498891846156328125724179972560696506842341359642961730265646132941876892191011644634507188162569622349005682054038770422111192892458979098607639288576219513318668922569512964675735663305424038182912971338469206972209086532964267872145204982825474491740132126311763497630418419256585081834307287357851807200226610610976409330427682939038830232188661145407315191839061843722347638652235862102370961489247599254991347037715054497824558763660238982596673467248813132861720427898927904494743814043597218874055410784343525863535047693496369353388102640011362542905271216555715426855155792183472743574429368818024499068602930991707421015845593785178470840399122242580439217280688363196272595495426199210374144226999999967459560999021194634656321926371900489189106938166052850446165066893700705238623763420200062756775057731750664167628412343553382946071965069808575109374623191257277647075751875039155637155610643424536132260038557532223918184328403978761905144021309717265577318723067636559364606039040706037059379915472451988277824994435505669582630311497144849083013919016590662337234557117781501967635092749298786385101208018554033422780196976480257167232071274153202094203638859111923978935356748988965107595494536942080950692924160933685181389825866273540579783042095043241139320481160763003870225067648600711752804949929465278283985452085398455935647095632720186834432824398491726300605723659491114134996770109891771738539913818544215950186059106423306899744055119204729613309982397636695955071327396148530850557251036368351493457819555455876001632941200322904983843464344295447002828839471370963227223147051042669514836989368770466478147882866690955248337250379671389711241984384443685451005085137753435809892033069336099772544655835721715687676559359533629082019077675727219013601284502504102347859697921682569772538912084839305700444213223726134885572440783898900942474275739219127287438345749355293151479248277817316652919916267809560551801989315281579025389367967051914196516452410449788154534389565369652029539818052802727888749106101364069925049034987993028628596183813185018744433929230314197167748211957719195459509978603235078569362765373677378855483119837118504919079188620999450493616919745472893916973076734724452521982492161024877687809024882730995255615954313828719954002592321788833897371116968127068441444516569772963169120570007                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
e^pi-pi    10     -1     2        -3.721246399047171    1       0.10000450030657109955009516922174956560349870593833256267821507305403872453566182241797411997510854077727636158143482850843480334156970275669384475792594398727796720456126950543741879776145592440790503773227607697254565271512597608781880713519497045805790523356432832248425996909725218482606926066420495804794654973036490545815802377591368401786325239914290040187629456900195213217193842756551523252567670087576825796412521917904869790909501223024629579629839699297300354861291483512137760159576027234822299958601307119772605613014341554125385488964447079258249147531181989817255598348364537525826053200830846401422308816044277550532657952145007824908746524231417097673902802133929495102291690461879227046011398955920168827548171025166411919986938650418924760705118242386160249909766948406020999905982083692066431443852167699852035618183390571581214678382858277924949619181137624561542546892202663419568333531260325580634625904313203605313052165761424930529959552289981918742617540905236341011399725474383772975709342989244610515715572289814799789006843144358057460370660544058588408344284313695174976500076823505249616971712584865458964651482447513505454753213157695164485385917420323619128414044171504295170693709327377987938749637908672389760620355332339513460577795466151765726989925611828366162110438967469003119514202288816435892881398258011032464832764618203918842841161573163196087251424038492122084336626483295796724846320379046992291180485718194120166721621276770483255692962594261295010110157629255724670066900651699951548777089777200197594061344949923182372676827008594821336111025853647093044540668391951111170292464724275128278676012789604159646199455949306110170539341035052702312456307916148560166854688114713285393273321408430729134831596054399882654492606987607743876344434022459441276699283559116101698858780438519110164236803725821317452750744874961202817932048255771762187927041565895113054292586959203538465155838226251514669016542855414158886375335501810394706314513242600054171684865297722304126437859067002788046579726488621391031700828778536652872994190883870645313538617079721572031859708236561952765030115523649642535200633938322650690923907026862103703844980006221802849851923201783889775607756196346152630500397266476908993191288881665954952879913090740354266416467392031857984654219636566758773333621236377726533314987593470153137685981993057094142104816263743501493738227                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
e^pi-pi    10     2      1        -3.431798275933005    3       399.9639999776164900673545586305799774733995455659700235590988268951691979508331260022425617661745243687932870339855380989839389702858326803365988506344702947205730721280741320752003909636375805079777459392142958122439809088892725482358761741870071485648060289871863808672319163239498740818477582012535593597256106887247154926062711058940377796150970629832727543370346412264056688831354352700468764077474410829421072534541770194947623831502811874658967225391999390868282737977391790151741722295708493945434512503587524862136358657427280067473305882171361942612654039945607130618595254664625973482613810143065093717903191541243970395890182750245560319415572108351524448587323401622896602082267933404970606608594653743348475896682410194135722995437791000032243520668226591360522277135028693326192917853114740372180611732371306568874500504698284234551868014665108322019379251215563023240142809726040584259136004324387152983554329979356943867842330741823605367583231515116937743208857559933456416513394599643407060211089263328379549978661562647970350916604583842577832100737167307219476846260769549548865661306462372596053535355067832571015894190957058915240641036813958409443731495767501983851836499037042637964964347959418271553372683785738029141555150739675843785352552885310532535960532259963634426988309383644325314252350467692608758060196260002662856006331862033083259171306100662721628067669316596884849564271343864026517958198691949180529448379873286861300818658054923329664661870709645944526844371424452560678468216877471758830086466146199020084317420261467457072447308631543048871795019144375413533578990255956658473111293243970133370668721076851667016762785961675940802633044985521794670247326881009909825651328063020037792577851862094120219286557263636861832387778028117223014151365467513956708373109615267322429125084853711234493309230464496291785444342583183239157674451918789722510455246929379420128053580988281745557748214961172238620562728274260590027484511416330459484002500277653806953308905475692558608606775901007373995856325968994436597572617339178394639298011681764196745537277831713363197676291697558718691754179700457430783330260514471747609979025101600913849502323810185535620508262567727463461422427483434159492682870672549752459264441709104795556005116224577111969560980005427477749709005319942927974087578365449088259535816455318050605321792627300749607555626474290403036570727                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
e^pi-pi    10     2      1/2      -3.431798275933005    3       199.98199998880824503367727931528998873669977278298501177954941344758459897541656300112128088308726218439664351699276904949196948514291634016829942531723514736028653606403706603760019548181879025398887296960714790612199045444463627411793808709350357428240301449359319043361595816197493704092387910062677967986280534436235774630313555294701888980754853149163637716851732061320283444156771763502343820387372054147105362672708850974738119157514059373294836126959996954341413689886958950758708611478542469727172562517937624310681793287136400337366529410856809713063270199728035653092976273323129867413069050715325468589515957706219851979450913751227801597077860541757622242936617008114483010411339667024853033042973268716742379483412050970678614977188955000161217603341132956802611385675143466630964589265573701860903058661856532844372502523491421172759340073325541610096896256077815116200714048630202921295680021621935764917771649896784719339211653709118026837916157575584688716044287799667282082566972998217035301055446316641897749893307813239851754583022919212889160503685836536097384231303847747744328306532311862980267676775339162855079470954785294576203205184069792047218657478837509919259182495185213189824821739797091357766863418928690145707775753698379218926762764426552662679802661299818172134941546918221626571261752338463043790300981300013314280031659310165416295856530503313608140338346582984424247821356719320132589790993459745902647241899366434306504093290274616648323309353548229722634221857122262803392341084387358794150432330730995100421587101307337285362236543157715244358975095721877067667894951279783292365556466219850666853343605384258335083813929808379704013165224927608973351236634405049549128256640315100188962889259310470601096432786318184309161938890140586115070756827337569783541865548076336612145625424268556172466546152322481458927221712915916195788372259593948612552276234646897100640267904941408727788741074805861193102813641371302950137422557081652297420012501388269034766544527378462793043033879505036869979281629844972182987863086695891973196490058408820983727686389158566815988381458487793593458770898502287153916651302572358738049895125508004569247511619050927678102541312838637317307112137417170797463414353362748762296322208545523977780025581122885559847804900027137388748545026599714639870437891827245441297679082276590253026608963136503748037778132371452015182853635                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
e^pi-pi    10     2      2        -3.431798275933005    3       799.92799995523298013470911726115995494679909113194004711819765379033839590166625200448512353234904873758657406797107619796787794057166536067319770126894058944114614425614826415040078192727516101595549187842859162448796181777854509647175234837401429712961205797437276173446383264789974816369551640250711871945122137744943098521254221178807555923019412596654550867406928245281133776627087054009375281549488216588421450690835403898952476630056237493179344507839987817365654759547835803034834445914169878908690250071750497242727173148545601349466117643427238852253080798912142612371905093292519469652276202861301874358063830824879407917803655004911206388311442167030488971746468032457932041645358668099412132171893074866969517933648203882714459908755820000644870413364531827210445542700573866523858357062294807443612234647426131377490010093965684691037360293302166440387585024311260464802856194520811685182720086487743059671086599587138877356846614836472107351664630302338754864177151198669128330267891992868141204221785266567590999573231252959407018332091676851556642014743346144389536925215390990977313226129247451921070707101356651420317883819141178304812820736279168188874629915350039677036729980740852759299286959188365431067453675714760582831103014793516875707051057706210650719210645199272688539766187672886506285047009353852175161203925200053257120126637240661665183426122013254432561353386331937696991285426877280530359163973838983610588967597465737226016373161098466593293237414192918890536887428489051213569364337549435176601729322923980401686348405229349141448946172630860977435900382887508270671579805119133169462225864879402667413374421537033340335255719233518816052660899710435893404946537620198196513026561260400755851557037241882404385731145272737236647755560562344460283027309350279134167462192305346448582501697074224689866184609289925835708886851663664783153489038375794450209104938587588402561071619765634911154964299223444772411254565485211800549690228326609189680050005553076139066178109513851172172135518020147479917126519379888731951452346783567892785960233635283934910745556634267263953525833951174373835083594009148615666605210289434952199580502032018276990046476203710712410165251354549269228448549668683189853657413450995049185288834182095911120102324491542239391219600108549554994180106398858559481751567308981765190716329106361012106435852546014992151112529485808060731414539                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ln(pi)     10     -1/2   1        -3.1314952437249057   81      0.93464887890064462878583625572092429655589966673835634259158174131225975216443586577777138881772881955463296807386959738324673079248301890804355721045286798759392301680860832057779786574279759775319317663346048051569420156944362967058725500142972081947416349868322453022086827964644126997681781010097800049927346497647562112561745844964407148666977785131261963265863951410125224905057595387214070106130164829698756889214267804707951558129604699510397976569401813958008091934219829604457819167858422103131094650410158756467727456943648445669958200199364421419184803336833428670383265742570029397954223323886097100270032533608409125115864890382262559419281552235605960112930903102779394221739302551688137258642113635059680807753885598091644193282154023883247149462099348006207086386831871721640316566236061017490485800341395767125301391925641762363963792722055340174147887910722628895741558590782011450440712266589869075374164908850168060184803939083141826216556861173570154301578437289589147444225357379282805308698536470904471156989071065808379333377291573312120467414540540738343477000849401008548671652897965057509477102223054142575064138519340268695730033284188377091876931984130383253803941432531300757977849696593660302045048656470152376218904437903901142721316095125325268328484589390151268019708916398966540663788288141039024134665747841771018365487622126395931094402084195883809832066129307200987919973711149034888510686817299719727952683697491754056261974564364188387503126988395606713349489979249114632986714020771125977334935523170854769003243419177232884719196079249786870637970785141834428549664577230253165302861135368157982959171203929014640665146588740281388633600102953023229339353746330913400052627707017577346270640310825835401966986418160588552781144290281123563941917314046877003492858775678071050793668004467380436253266013488118467097743215607821895440186148795394827402104407810004220819807414106853747945389478501128371392215533674187995024680879840819502894235362347880411569048830716395553312670348338041525969104781647112820021552394567351459880486229338028676231968644584097245646518617391316731171439008600389900821418232338761881673622047698029868348057491744741127509871092375339875410593804308355936317390884812774626961661236437193989046043074350819972776013753937713410400357628344364750706801428096964769259696830419721747485746672575165065466938901752790870494786944                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ln(pi)     10     -1/2   1/2      -3.1314952437249057   81      0.46732443945032231439291812786046214827794983336917817129579087065612987608221793288888569440886440977731648403693479869162336539624150945402177860522643399379696150840430416028889893287139879887659658831673024025784710078472181483529362750071486040973708174934161226511043413982322063498840890505048900024963673248823781056280872922482203574333488892565630981632931975705062612452528797693607035053065082414849378444607133902353975779064802349755198988284700906979004045967109914802228909583929211051565547325205079378233863728471824222834979100099682210709592401668416714335191632871285014698977111661943048550135016266804204562557932445191131279709640776117802980056465451551389697110869651275844068629321056817529840403876942799045822096641077011941623574731049674003103543193415935860820158283118030508745242900170697883562650695962820881181981896361027670087073943955361314447870779295391005725220356133294934537687082454425084030092401969541570913108278430586785077150789218644794573722112678689641402654349268235452235578494535532904189666688645786656060233707270270369171738500424700504274335826448982528754738551111527071287532069259670134347865016642094188545938465992065191626901970716265650378988924848296830151022524328235076188109452218951950571360658047562662634164242294695075634009854458199483270331894144070519512067332873920885509182743811063197965547201042097941904916033064653600493959986855574517444255343408649859863976341848745877028130987282182094193751563494197803356674744989624557316493357010385562988667467761585427384501621709588616442359598039624893435318985392570917214274832288615126582651430567684078991479585601964507320332573294370140694316800051476511614669676873165456700026313853508788673135320155412917700983493209080294276390572145140561781970958657023438501746429387839035525396834002233690218126633006744059233548871607803910947720093074397697413701052203905002110409903707053426873972694739250564185696107766837093997512340439920409751447117681173940205784524415358197776656335174169020762984552390823556410010776197283675729940243114669014338115984322292048622823259308695658365585719504300194950410709116169380940836811023849014934174028745872370563754935546187669937705296902154177968158695442406387313480830618218596994523021537175409986388006876968856705200178814172182375353400714048482384629848415209860873742873336287582532733469450876395435247393472                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ln(2)      10     -1     1/2      -3.0410187449244597   9       0.72134752044448170367996234050094606871332297707649296706772470346555460959059253994276331144675317224849875915482627212779655084358417982136033107911173966813726868494235924681535069383176600776694715945833241882156430771202373921114474895239754576517566929402748443294654849818401805525553781542207271360791417247094596695428885789502208564012342417068726134759118450561954701722998426995305671086144313901457900531503098838122282630299753687662031282790773796908915261986275536240653857813377290378908566509678650308438096868649133794870781190899178355172174487534035275904424328069341645886609146745698421552967270110125931846726313460754779859550110983961216071671224708953572755924969296061083768265565038731638360323061687055410595689721669924028965545643880483510018787949907942590306339404988047812625392051242352845038438402923066393273739101390432973103045537450766240998486528950763616239364937049062705001672434378691118235824727237685335837979497140499091339174506583331676740183949347234435455833024867686462930360647434867727035404915337446917061859315700417989809432987934372626652734460648832078521031062962315684621084029543870416790696433327079248558129353477828929437384981564847625022968631369451340283467756436471691860956555832544050079393132795781897702795283891118407001548442196740431142409239567281657059651192013204863742182248109772461223261102358817930373982927833026704914304928701394187165634428167721715348935094821791306955905012629951038309221649244159236195795635069522852386788241550510596414854266448046584017695982493478663219689574515424273530821689492817411945000228213092781124846545698015626011188368803707693105812277558254321839956469468561278637642767925269431377346408377520365195949219482052601994951053945387053733535774359372296391324016287266470341827627205173286866015756911256468071881207110112535718518486536730470742505430159466180205665555787246885124573440727680486143083621263604444453075872552626577958915812351471508904796712618598756280616478475296342945053778656072391635721932791979631017800374985420828384083963436098949152415114089148869257614689869059763919913346173390949136156917622138893282381156742995059701439036624208575552930967460127344091890917865004735007375147598240891893701967710813942411947098734776043131370973567869629861332561971360058323134646935364200897849669944460125063895672966454733801020788243989542080370067956                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
