Constant   Base   Exp.   Coeff.   Minimum Log10(P)      Index   String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
3          10     4/3    1        -3.0000762250187054   10      4.3267487109222251469649149323403287651756077604980517326392485836250627904899920195642664391169357700605052425634686498992762718383307791446068504715557116812709960715427953351832566200817802644364966182541020660574035982241470653176699567546051116994714669963888499065255788020474005049963646873645275658225267800893956224401601813915399942708123092592667248274720462432828013707718797291068939120848534649675277624471569785707615709588312214185918084308560525330914105583650401427456671723549692527581844109593590230371187014358233550669730774496003693210477459987901284811999183331461440057036725454173553540835906497604468057058390454032701871050598391112117384369552024606017297140131591247081307091544848769856484997734990014058626817994484429354553251496607300645496421768509818397383784080950716407028914002894229480792905867429482421393452866139926398405256100061368563070825099138610996933221537273590941192424366514080121685342444784462617188348036813201513199838345439603324418590291681679985732117819729703573620279999918517702031995336051785726035147936647919053933497317401354040985962171832571732674966833682805851454172716947937584632300624720068678934786383114623902040824509405076428220654360300273383495942967845043456049600050808498941690880775151029529751034070184932215471072986198869762959086020626786957410185200450184465643288918725768118274229969722380997507421026507686162003967493804745438558766556896797556184448129009081284399482639394042991084436022663924179447346418124512412500958463122421351607059489310828596404804150970876730929020607200569323529541846279229162685305024456415126768363934265125598892766692252762398756272999166801590424194008877796830860235627119012121155799662010001951005494326602980377177330587049405221576327121127311097802888383841378975603980555025736588073909871136961727055840807351504157031276985240662550203922847674240988193809356327333334679815928964272905038183167147500223115453659519276296676301933606773185999084518332277588797246098382147839586660672438740253546323038004595124744742887590168760404333695250970507444692270610629448026895747171712683946458979166235882636218236603960019028351664185697514226668391228206005384631388757368570094441404770713262850227938839811069771559180604384385885580138462866710848616770303576250889447671210291682604070236266244264186071476292411943143029153270015166941678786071807737892845820546
23         10     1/4    1        -3.3174155709291355   534     2.189938703094842228236660150917886029971899606773247954779236664170566602383668578580233646152093939761195446356475257230019908777058318274984003775078072662764645898602516027859751342298567598157328558122148655727460997642265326339149381283995430398140999758860182865928019908947002247316169044549442588052239956252206347450129167019890404749664044159915646811596085854877967443132736360090175029705796142941215469927722376672258388716356794254645896277799413617919530623361021611279995183971795599326177714047012567075758606443820522777777499802596668422927330406410759823431203927368526225266532262063456150167139663307881529321098204593366639479574715475229447772765558086226509815639457430881780703700641357333064114300907004610895287044716715321160356900706741333976788058754262534115350233388483290157565401348023905071383904459720423409167585014345399708249638482928009254453110947884390870537093902819537242969425061020029769614003264562768655844156305815901807482280049614516139882814707423375143040461167414044651062230692049465693835378748397440782537815162468676418525631920051628020403502585468049234911739513927830184390096318361419049379763545824196435530175752537689542239335596609313439344427581712952181011219742403289965837507115230321913526274036580081521996473794269826151413101822435339136686522382854348960867295136863774021311089221398461360588222139047191362891795155012880677818187454398178064856465184936372768503151771445330359393545561222492883604455828468448411206932041087117999128689264355486262065009966462223605907288138035998719268003141159582019266857280283338864182586677665988783924849430737045230723324255044026609908152284924459248499713909350688405273116251361851955093749679093737411775157711996188593716781600446123371871023606132390188965170204079570192283376087905159554417740201343884079426558373619737167507184972644097117985153310027688175276544397616885893549830911892877794112831727634983469864889308375632977709398527975610608445614465874581473237097755025492149627910218942858329115069005817587855818658058435232909747431495094842147389508625185535522216819994845345852586238905077954819324148772308450690052823973285473745082093883343778144688907883441154718200771141691686075977429012542546356060408698525549514873553394261048345761131851025432740254122956491564132907103676150287535841846784876365325544985769083414101263840499261970360999569846 
31         10     5/3    1        -3.431798275933005    3       305.91644449978819175059609972811917195104982879430347049452508691918572094587755584451321903659564462272328567734064574862446394307665175437772663430044153231050834115856886746219146662598597461437843322851641611976893320589149191523169929083254260431263650109936731229625004646870391287365435143040529196852697570582942957467961221569590348580377332663770998858998418705506352233502645313337991516893723880889746997499992762224293199486453946485925686386984133210742308841527833203273825145076994855163943931220208841285452959298458540033546477913103049146963876541468223777106670503846035541031665547052340013237296604458148414713911791036880674393225068432872781356311963410064975297782865390453039364797714609444039129862521602008406423593156077486173770816259972595078557506388450032190312202290705404677716295974369872096105205490861419774892383292969260183601331545156255906828153994471954111614384393466621112872227796106303115934445228820315478863258505715258747365022410403360449912408404418252073500620516795810063055350584175137537637084080108842437728094046623665775028915509482730865772494354310221419070285213178700358745013893183161806888132535236940211619585328200793063681504801866141056154864157163189929106494304859861530742053257625083683245722845616966185767386050839703249223747940266535535790909292730548390778445383028898240655936088129477077447704925652963594107237347791156948552625183003272642373775058436750673846492938234273305715935044287028461698812844074197637946136897847287310089924714679117521264790949309906868707612047137096798587047378883733608114286364473382903231152903818442254154747129389147222042007148533478415437905365547694643139680051835999946742910130302602441013411602337491365593678250186127881128349281015010219432678272022047480893110877536451915381792229709302540450336641254551090316985367735141413026611179517564814243733016788054588995061338985585693236871531064330545386178313011314753363528157761837198708846513122347081301744706890846140313595453737753505659163148984113008755795832040499817541376618524140497941609027107252791304275239788338745111111630395032280288722096408867458563185904639726497019488697835761255531235988437035416894010696716167843328699339694369571434951086189089396012560513189792097012708809865656888529058993938191227960398084507213329799037099201591719507039597318125701086011225674205728571935900887906904071527076
59         10     3/5    1        -3.0368631144813154   101     11.548117842660860486641836011548576048134664347220467044066546921926055113022464558376611331831893186287777730103131917653188408895484192324100249792455152905313049485113259642248797281534194372702569126853055753964366977312132185472779407600130275792201487950479074078837301550052413486846856992434623157206937143932202226208639357295647042784184859496480316826423064755818798617050515261317179473601330956575857855295428627814547840980313789530263117588902117714269019121980712160827817929383759136474553301404419091950898587720626477416873332720981178390752950720116361924753369040655116444624430051791188219491223884505173588125866447937528864902881791465719642969759073955171376639613274725933893301926723091736944879100733371553389316074700411115849125003461096012022917072620747970928779838621679443252135456364368454404819868742844487460121533111972541211540467862094806022408343530668196007739064390872246903570921121183060790795680346136912539431770213476558206269480258395856846652314052264584153908931319477038377691731743281743761325577380726778049351523129725935790042854804239267896707876903769594463828221986940931892347538360331696721774095203767661548783009193641007762005730398182718373317055460845522344909125534164555570301844626194525251888605553586928072428090776200699090527443219588326629820050261935205247707819564966268922174404989802129410321588036601097751212724618353382174837822700331453039703160671456288729891109061313633089236168268365236736159072766631253085004987286379620505121300053283928712422939556903394774577908872385930637324958305204869040139469320170568951793653055563309980615096832810987905917050408239139609122655254645236897241737304849383444742062959441961121954696571345449087108879226100787948557739360484161544355450273283320966598605231073870817899614194530810874089880935972268938885249480782105389638074197314011234996144730518798073442650299602373029815220711613731049198119962255172880677279043489938874350895450388551229326210062405249411755449820059816480271212483627963761395019973180733821063703351157863422207887111010333886502086486048377674857735341991908439707288645514516052651420965332094479651489079680317813899106446600168892226663037002519725007552083331060658100448870203584220867698048482143728090071450894411657966072953150157781953547931653037847102418659203113453264690876165347304429160072820939275365461085230472784951426657
59         10     2/5    1        -3.1938377374491025   6       5.1090576666998671993724466663544243592850115403312379917541045646617770763193778778319949816448989216222388544793130819507703742934791952483465929314989224120804932144065540673991958440636862264297235534636482432225114193306976173111334777256298885010467387931936864416182753122217058250562028348073609764463750151248230736361166156148982854271680569044908675772577608863944518678552383985098134264907719285953432268671383401965320308367742199733119190615773607917353297855915628272486151758178464955474657902151154122347532014072944926589403406575698682294668863677894861676627920990829020353164275010393331212910930393205152177946228020091720095009138854223567528137886337448364544733572142154744512490729765938351003986644960302344216730534427501181672774863520184608223033615637814449745414432925141024322526366164703345541419273742849507882998218848741218247237025024919149899455306609729003808427295599758186926078162280376963523640600544513058102206074480256795030351635899085085713690327907925263528885484416139857794745285263814454542352593138163564106697313652828245501012327038488531633984141412031114722518250123782031125446837662050003826805406422530101922100055149771337021220277590719252508012920953708314411755681574237365685046391802872260142828592562129828057246700631952437078689689021811334246403354480427012739676991006055850436395889068611976002302086742499406968894792374295459130046132137611248773994192702611776123830759422232314304314569634906200006270731696427231392487568757023976883406234197569582251930620598454865001965312155263062541981596220805045550434965605111079845995580322643938148431251346970867356306194733020741464496069161560376294232242615217231649026950780470624187238701516185876581852245978004050312677779906736617646910006386786384779049895837690973029008326710877084441042633249586853849424196816588057603458755516563795629283835827694232681612884219791869926214675907692446137843871222238623984205392771902504264817507066529918177671262613371084657521974627094442532250311474908814742627362600145600373307188107202292933013998614207886113011577839649089906447877208468807987517491440509491100496388936672582451940451078925974896950453051274946871832643610486974390719449605627548915471786081267012008348963266411797301216159040378814764611552504156229978771594943151502361074162541655951043914134550414371337752327089974893047335961622545650860677207803
71         10     5/3    1        -3.04546831267318     1000    1217.3923860094093875671236516958700614932640416268577236006282618138081081017794614759629403540154337817429213522545103525281678030189064521088996838930265514179053921527879201451803670128138494889132772742783453707508276753179981820563518914021687899518971551246419466622690546842922199101384573660354881881038549738191270538073241584665817606863438545641065595380316428692728390495819127892728397970092363239642655177557365607322644743430657292442597584704376754938024494266047397494777488521272821058274905902446198068198898845919858832967339733016057933168913921249955953812816261239040670629795044870595576827149319618301239364591925771074066323744130701775076000534786710664653479536696823542229491097569842104789394341756841849935404319828959198725454426550881207401310285941018152108965262361013405944638769225654964898191317304952064929080549844750635749087905992673492862017140791935229589066300654323172920794912631842279647694890520229006290644461173387609529232445237773256517256487289390190999999004111564425036442138435712891074133224768356671108529239246246004543520663255537308946292829578856844516708583450524970893973670165457204507526527283485204884992845062162572057997535396933483616280185248865619660345284369054275940028874826011527293629851240357007453237314414497778380039379628804692504475735159884523355424367750335366836890833261830968602876020454584119716304467488835090147041138165902298522400576004839205288878259869855790978132083582886140464967394250860161411521239683614815421744066914954217021385494501034338853933975788034234874596510463832976662626736516304404113566626977347328029576742046559850173255622294489407853612989436174215840494467744251922859369144470546765243595238720634751664457118231371910280238206695430710653071945444274167963932802975258280647459385610898937183002610227897524190960329229893562203855397106127856239986553915846645812415141485121920681865215195557934729552002817050992760113919136350790443723720159349853173640670579906660572301816784435353471005495905486924138743059317646255280949253596887453261918907380504332558972918816645568823530946371545527316489666114244641273697502346539330898917132984998327651031063519475315286429209847767971811518609303807860103452007092663705973566378046974332215011429910580898673245390805889515232051393300977880013106194825263539040469165860560225096227211835592257657665020700782894072037920094
73         10     2/5    1        -3.460244183732298    384     5.5632572689208740966374386519922650319318795650132969562863959818445883917420535560798869297503339787830379052179148264487808906053961945251354111464949040232757076645109049970817724809682283185541655807535565921122024727266231502593190358245262027467300053317978488729142356249151883540344308752796584973560080023597807019875280991017329946524099948229035170319878752992140237562951258888887899410380791568250910352156104234505065102006375939858990054495935957845870660572100404494054549243727732292137939915550213961964101756749701423590804587718885820972242520497822545021024697906867793288019757149250899042107733451514462467914582700185720750622204709617728877908826120276628613816729592123371428871577081449482321911095440362492803592378216899142835409424264658394976914007560824466547945984345019319149558006334542800620225175288882918071653924054806851260703416500332416688572303425769013662480563462493899057692396786293539575961609109425218600986012179504437346711146427051298387879804324077784779670263810550849674990365788381363084402315865145439933936231763863556456308000412179861715442672156816192919579405581586066449873427260556247765527624928286989758399392802770906869958675566703770732167858297400858137261650824126039452246029807868069566695001950662828943130956640733128400323370726614676381580082477808744535812918941611949045627292443578985050977257984753795568890460866698030316249987407851177972055637908044131052979527152892637831824858614590163458871550557760862525331292250963609499266032396650589195917000561197252258644698390648847168268464627719984805159585187021729460904468444395309356088069376101565324762974301198067711055062012494037835717258371855877973495685617280679098227225871038665718683227947769177517627094257931467213702515047291797364730476648531647729406384688535342266832758717780550902793821909288631557738115121289103028789781750362534690351626931408736080538102255521179239068631735420039110512843231589377019557652432687893933394075549405204796631327489918001278541346065583270994751394161753395793996001628715775598529555901155541997237189590790493223136862652670257326530819369581893019504712819888938843859377556838242507726789413051471237535766753113885126942021914391726672507765253646636640688470464076194079672289791416553597005394629777081728057831432973201354844113719401484259197013764441802707733041922677658165325317104952765823103000677
103        10     1/2    1        -3.3280940641006325   521     10.148891565092219468648520118935874383581922501888406652253650920611403822700517505641382155841171359688571149901189703003931535651030823006392221026986507049314155405505856824949746562363369917968618031566613894090703217557455924233415605046701431758926140577630888780875043147947340791703872461295459269913304120039086770016052075202795625768194105144751889387706920719884984732019482514877649046423949021496841139922835944568804467128070058673193713816428043795478696837655147934922558163782842454673373466864281518185407777774737049463945094698974637452591997457988983904635122442126714058513863580791346304313729385800021098615353879507804394573186760714971737082120038680489432922724783063562938160354826942594480877419867855454699903750434490227296265083785226688839593951591082816724267146824665137626014440244935452890959549067732873281148785951600245937656685366597535876949037375763028034339211633786319509664901618328756529846680746560774111231516689906486814037775534600571118957943177746158269614139555971023173561670888237225487929512920119167080940877568663512386218443861853027194179589265057719321694093216678832286067815827487792235975967167587600155326755478647431926654875047480494396005597150070308875186650761466368656334067928710145940066214926598298972228210557406468759846255849011860583380500278745946728576593468505349322354325684157564807885947664101171560889667799422314760972748453724319081834719536274801990602411250788060408755001178426595972141205511832052862344938646750586440564171192033319617084130599907939211912144562332797898262888773526043423907473461328241300418326485067132488647052096747323611775852084449312032394794727469895259603065760851158497098207777190407834235305091865359723190138955155831757563271900629634178292253512416973356738597723608586327622084637548629858336860811168791322509281199575565164508461348207876635711107055449491939668285737427004025768290914033794924414701683746534070134133198788405151635938176030872042052368727268572863535935609203201627130199421141664676100084196868602310034925096258097640097981727643600178298978215378522367255873699431770790901846058383031202356627195307265347645468567188760758050198756560650656882476683440362782421705145553327805155776215377500484287629070835311600547544483501570740110134040077129306951722244217450768983513526552552511652890451363704033426409676290131131559110421641521726428456975
103        10     1/4    1        -3.938193252929807    127     3.1857325005549696134783019049859990705651941021971116604049311025407272815007941874934529913522772439054397642047115261105704874111111674508179298422195132290471737097350155223324122756387873975316202602447388697979732516243045438640632994310279686878659739541395374363111041902837997189159263098647701426863847416884634520442215227257927792910321883522271604916360815129826858885594537706249391944850610063248700096642749789373237061008620442668065491725358462043225527854439645946472311884667890981820283391625039275652662769456714405500804386435111108443688338503745024879590152202547649979726873876996709413103362515038158290695386824979190942190305118091514516505541853297124351983002543449487303554151357024621298269403185500584775044113422280489634313550935350940710646398248760308439827266163080075977576568690693623113345703415462040795054246943447565712551741412033929594809023292174910254702322343235910976969755084403523670113944965178173447774453039743016387100637967310197193430630970311240635864924097864751107409328134220724642860574192919356330117800987577934284232854644036491317854066950786772776556829921360288264000262717853100444046139045588133670358980403325063774028708876856269388018604924127167261171917169550311364435467111292513006804758981571100366747306370823078412950807898440824487787165502716240170173009652658338936228297481403178516012422066722517256013995560902052597832701623761091016206723425200475688661236352401658327078386208940796832468392049320436374248829898315861481418871525452512195114852438102363028324390943174653533492291643909894884153378622129972375461342549127521318628456451494380506109646300686558940754179487506077790396531844727677583751087372950699328126181154934538132694321709430118602114932443973383483580098228387221578783611337223299482397795420517271019655047781547650404880127757192026311005967332652869706756777525492819325535108245737224800533111563173984307113466295576915696419815743277656361838531710415636524715920942399988307717418482077571808118907258773036313842609148707747169738019500714118829216776196410104726532495096231673387836008339397632629622274933482109295796072576715193645555951731576461781771397061357609244905381114257696879886158045366534604870583756398689055776739779208066293910971110005200505049290042245198436548604464358732527540127144618259531732565399746486105676346697672188256810335633008104233970573954
109        10     5/3    1        -3.401275526984165    43      2487.2006921978766981331643618635043388010669458666664847219403287145452388057332214533764710937718066842550746656640267067517705168775269522313947358362029649212316057227098217989987612198809935754619231377346322867903799596528115215458025878076331989813323028595887499086241978762662948338511639884200366462454537904828623353978538998553705830107753314376150383693553928427088195826573586196330672989207021260890535868510618797028528792494338503202524894953362818312577975546730761442733125663396083491523366836167577892210485091700831769525159094775509752265274649823943046572610387541295205036897694854564884896349722661757209676976022725495019433277126470119399522825077725970828968529653544424065039044535207042849106934629701703236041642881869448574725354699493353721567040955041110126671880490805605694313032189994407806729500182071993383831155102538259605693949545677719470711752422573792134389067973673354047285276677243922201658075062693214387420992292579116911056196773366436521092454167885801911233495353617875506497880196510268166161961091678932911176212563600669944668610280591257723027687558896245285780903002613699273872070079408149439556437406917467302372078449316623098091716657190127078862759453567097304355850081880728705182524961421167485287000537130703311215218097607803631401131653358943371414042941134289758056621919799067574779945520021414864893792443601159159330989715588524253770667348205037441902035789351604818417663240925864605727855190240109707031803302718685713973928689708065026762690124525967369760857923822394792171508327329472757112236866307237550887642558993502868415169840821205292928693605863378764413326192067905454196614986552522732952918613375533599057149294976294728347597563357355548897228347509478428260460808934548716985766152684300750623693048647947102665822806559445896287112374477489613841437044939923146409085505208384337128076955197309044259408519580200411975518896136409583416227884481864252924172924163553087741868597496306346340430753144087314135652995441927663364381036230526151115693530236033250943310427834505975242072884244503310306977559929671818567390123462413267745808991845481418993323149639239777498824684896300716919836817468793095703190312137959304358358488450046527259303500453886931523721197833590473810976954402935504751657276605354322992866491262575145847627654103308369282375810750349197444320156495693900869436346103451827816161674
