Constant        Base   Exp.   Coeff.   Minimum Log10(P)      Index   String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
e^-1 * pi^-1    10     1      1        -3.581736109810649    28      0.11709966304863832138048453693333374442782984255212289775394452194032569353743913076603752201811672863131007949823347711846503017360645203208955525762355720195565658917116440781161774886181750349294349854858259339101106531763124226440088843689114447670267164237421082363575264180776902072648578448263166880134354210139996463054317295250823789696575180784451719318125797844492697815073282917735623319294445918409171204645832564395507892198546786547261965310686835189262742596052798837125494408623036484299428922526791834430780304162212734277254654417472502924624628323567726768015463483004395957847835269531786529652811754666346686332500777730362828068347182456100815825585640089792104709226538540731645368003028030341882852149875199901289895722263156309090586421320942705675602704480929353471102058309669128850367693407001835147112570236203200118270314680150262105664467113429391749646880745093350869477686818575768148416918931897613816889588118929769758031292213697014329273936590260701512343278505303003344015704861429457237687579990069081803998275934320855193825629385432383349085370758182859478737656047812385772237614036444134946929010514513555072561074127776363333900012700766377332317957308630820742599187373443031188517886069118683923408552537936810101751903419264254492378379934673952760010724344379741507062876658261720467431176286858937639135776001479367475046866849186530563809003108170001286470202912601036774942620357527245415396261267026411168996718356450829743765501143622979083639649506355127028452846219504197320726979615429546883180061257461633014667304009298601995259005068790401266551019498769400472162964138748726604898230979001917432035827247437015342454685233804723585556917928843838064697771154085619921236292110713598900948717297594651344441029212357605924830400623745605299380237882483721178074089286438354754464568337116350316845285516810171309851177423079989460529499194737804782517656032469603233604368504534006586577035935668619953214960426355814528912202387931839562085001829316166051737399339326958649239388663459584680015279387928318610147154238347661940502039128814099070443777471871817084466707359124469468239109692555785444773269069874507497893113149448343563278704536586348285161332877539877207281853762448617201294380302632635069257089781560795297496298940112095228533535131624801693363831652288760870141071211613203646563545913940763544775420229942159137304397281                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
e^-1 * pi^-1    10     1      1/2      -3.581736109810649    28      0.058549831524319160690242268466666872213914921276061448876972260970162846768719565383018761009058364315655039749116738559232515086803226016044777628811778600977828294585582203905808874430908751746471749274291296695505532658815621132200444218445572238351335821187105411817876320903884510363242892241315834400671771050699982315271586476254118948482875903922258596590628989222463489075366414588678116596472229592045856023229162821977539460992733932736309826553434175946313712980263994185627472043115182421497144612633959172153901520811063671386273272087362514623123141617838633840077317415021979789239176347658932648264058773331733431662503888651814140341735912280504079127928200448960523546132692703658226840015140151709414260749375999506449478611315781545452932106604713528378013522404646767355510291548345644251838467035009175735562851181016000591351573400751310528322335567146958748234403725466754347388434092878840742084594659488069084447940594648848790156461068485071646369682951303507561716392526515016720078524307147286188437899950345409019991379671604275969128146927161916745426853790914297393688280239061928861188070182220674734645052572567775362805370638881816669500063503831886661589786543154103712995936867215155942589430345593419617042762689684050508759517096321272461891899673369763800053621721898707535314383291308602337155881434294688195678880007396837375234334245932652819045015540850006432351014563005183874713101787636227076981306335132055844983591782254148718827505718114895418198247531775635142264231097520986603634898077147734415900306287308165073336520046493009976295025343952006332755097493847002360814820693743633024491154895009587160179136237185076712273426169023617927784589644219190323488855770428099606181460553567994504743586487973256722205146061788029624152003118728026496901189412418605890370446432191773772322841685581751584226427584050856549255887115399947302647495973689023912588280162348016168021842522670032932885179678343099766074802131779072644561011939659197810425009146580830258686996696634793246196943317297923400076396939641593050735771191738309702510195644070495352218887359359085422333536795622347341195548462778927223866345349372537489465565747241717816393522682931741425806664387699386036409268812243086006471901513163175346285448907803976487481494700560476142667675658124008466819158261443804350705356058066018232817729569703817723877101149710795686521986405                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
e^2 * pi        10     1      1        -3.208862268078588    686     23.213404357363387236150345896006882480062932649055903457073646125382554936688756215621314066708624716520452033794432033678589624476857266364443440229290164496461668546131564300428386412712982955979371970382493631524183454777334399784323828785198103941992755004178051249507517346531347122708069307330187337693427032892311591828672807899069500637431600287128224294298348680553803055981551234947724762237167792521728830417844086142597364347869230485966913736218529645934779982911308313382899332536976501028539853186768697881416437800544767081739440319095851808259244048303232866991613084754439781073617394155775048678214751714027884782153145921846451837500129408207301849840167373783834435293333339121844866795550150335319850143958212251876432466107515014456081913899956359018659386202297670990281267456447878725306451978292480681586564809089428586049003919926870360382968946543701622165420770438521562148620696279231023097140273757464869099713640105860570128736846640828214777912734289355075583192329485393295179663535076133138861982518841035694479795559142965865398344155555126019537016291892425462665206945497576342426677172141610436364691091992252862439525999086102699985995466115810156774949992643384892142610829178886226551372535936654570171684775747582581996094526040301689133291371956045073541999565751368441412199281113277585974086763963724910502271711574356416043956150993853655592649958760827094140536805953925289067187577103922809168816682893167684432198839156743109448056938735085072660062637820214691190016524947869562096040005122972285662141555233921861082780991771406336143342185721934955999991139302517155389232455647186176768122012576165232595910136100090321962275583337199263045358963818563152503798376378567516143147614779464187082393281995462120408379006067864393956210828206175925158340651028155848401353317610670659866037898706433275179558596951418712700494535342951326109073855654081452584095220157705191809573191546873227381432881961947995908920118416944773394886208497953971302190136107702497856286810856610188635780230291882464460771151424313093180614327585619861857236876031047388862356801473386821424332757572330818035541999978481422894967645103947644831198008573742896337532414538972002724014558598268988269294270532386070273026126331479085873763025158500656800158952058613597536683575669330794984698836483333360077936392876745752586032509481432081256865601356328589329007772                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
e^2 * pi        10     1      1/2      -3.208862268078588    686     11.606702178681693618075172948003441240031466324527951728536823062691277468344378107810657033354312358260226016897216016839294812238428633182221720114645082248230834273065782150214193206356491477989685985191246815762091727388667199892161914392599051970996377502089025624753758673265673561354034653665093668846713516446155795914336403949534750318715800143564112147149174340276901527990775617473862381118583896260864415208922043071298682173934615242983456868109264822967389991455654156691449666268488250514269926593384348940708218900272383540869720159547925904129622024151616433495806542377219890536808697077887524339107375857013942391076572960923225918750064704103650924920083686891917217646666669560922433397775075167659925071979106125938216233053757507228040956949978179509329693101148835495140633728223939362653225989146240340793282404544714293024501959963435180191484473271850811082710385219260781074310348139615511548570136878732434549856820052930285064368423320414107388956367144677537791596164742696647589831767538066569430991259420517847239897779571482932699172077777563009768508145946212731332603472748788171213338586070805218182345545996126431219762999543051349992997733057905078387474996321692446071305414589443113275686267968327285085842387873791290998047263020150844566645685978022536770999782875684220706099640556638792987043381981862455251135855787178208021978075496926827796324979380413547070268402976962644533593788551961404584408341446583842216099419578371554724028469367542536330031318910107345595008262473934781048020002561486142831070777616960930541390495885703168071671092860967477999995569651258577694616227823593088384061006288082616297955068050045160981137791668599631522679481909281576251899188189283758071573807389732093541196640997731060204189503033932196978105414103087962579170325514077924200676658805335329933018949353216637589779298475709356350247267671475663054536927827040726292047610078852595904786595773436613690716440980973997954460059208472386697443104248976985651095068053851248928143405428305094317890115145941232230385575712156546590307163792809930928618438015523694431178400736693410712166378786165409017770999989240711447483822551973822415599004286871448168766207269486001362007279299134494134647135266193035136513063165739542936881512579250328400079476029306798768341787834665397492349418241666680038968196438372876293016254740716040628432800678164294664503886                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
e^-2 * pi^-2    11     1      1        -3.0692753975133105   1661    0.01728425A471695994173054307127143759757736A6969496742AA6791A69167485637587073841593464992A748107A5873756016873480A2A5604A988A988A933464030932773A328435007001058620A01A06A99243163918A3768310691587647786523A8A757A43934313200092972708710AA75816368287780720299A608A20219A0326658A2520493219A468647157895255755A728094A7A41434441013A7973808091082722765A45727205629811751678942195001A46773AA26A649A13059409532868539290A37090838A2970122849A668A438140485032840080495952A86344317A6992394A946976A01A3098856704A77679A872757213132440770876A90A73379707437A289412AA339608A764308A81523A4576A7542034040A91248745A44A2967A89963A16394609281368384391211521A648984A1090190258480759A64365142663515A4028A6604581AA7780288472724465136649209834366457742390A9896A95257227297699000A123300762844049A8A8478A72221A271A7A259A3366584955413722911052423448565209736A1A401563707487169A6295830A7359718268A8A7440A2473898779528470605429325850888759860787200156890767036519590058547A252986019284A50A12979416616127A46A85AA57407937653090207A51518A5126659A05924A0006601090242A9959748060713292122430707688709161717793550280105003783956661793256093290A6A09468626903928106404759946A21AA1320938A82477204A45287619743241012831776184045A39AA36A01467175295A908A87A91172055562321873A209883589568A02850885421471967A70466A2576164041866747A5920A058306311799544011113556839813517A28714565399266973AAA5248094998A1097A772979940118146A05A5417891029632041AA68303A846A481338A946A108574078485548686631A704529981A569716A80540454779999295699017921A292511A49A2767682513691909A87432A996531801069797293146110240763104676482157AA14730659A7A896440353860628803A9967A0A69603606522A9117718793406175A631053867AA48904967A4808883A9083AA823333335314232942446055665981AA2139578903518079A903941A2973134AAA16364030652636018061025915A884175929436180230223529761975495061A99955AA6963986263491339757A68734A219676876524A4A913770999475663718A8240096414066A6A0694AA319619A79261265951A25882462633834A268A48194051A278934AA29283A36417691214A079850026346953856111526820271217714782576736617525715A6299478093821734AA54048088188A087377413A94452573924A7AAA54A04763902202552A37089461A935445A5A9100A4775808116A83629617A510247583670A2220367501371745196322461644A75A12A46417577201986A1229668196029A85535772261103A4AA3A1839979022764510673507799A86A0806591561098839209744804438779639695AA5AA719529A3571571722003082                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
e^-2 * pi^-2    11     1      2        -3.0692753975133105   1661    0.0335585099332808783360A8613253287408404372A2827982385AA2473A27323960174063137583076919875A395214A063740103263695195A0109A866A866A766918061765437965586A013002106141903912A8748631773697425621273064194461A47A6A404987768626400175835316321AA40531725564451340588A1169404389065220694A40976438992619330467A500400A355179A4982868882027A48375151721553454209903534101585233A324678437A003992437A952A198926107817A65625A7757197317157695830245598A226987528095A0655801509807A5A61688634A2874779A79284290396186602309A44248A635403426264881431642A71A367483138749567825A9678116A418616A52A4799042A3A84068081A7249639098995824A68817931779117552725758772422A43A19685992170370505951408A1871A285216A3098056A2109053AA445056593534891A272197418568721904384771A8682A7A5034535842870019246601415588098A6A5946A344439533A49508967220597AA8273457220A484689601A418372939803017313963328A1580561A3708335526A6A388194937686447A5593110A8576505A1666408611463400302671423071A38070105A9494A58610375599A1925847832131254992A60AA038147741A61704149A2A369A25220891074990012102170485A8808395111326574244861314266317313334476AA055020A007457802213476501176571A2917926152707755211809408792943A92641776A5494340998A564138386482025563441358090978A97290292333A580A716A64A7233410001464363794186570680269055A165A842933824A3092295041318083622394A07419105611623487A88022227002578526A3495632901A787522837AA9A49517988692184A4358487802352929109A834672058164083AA25607A5929952676A792921603814595AA96262163A308A58853A028332A50A808A94488875802870347439574A2399895424254A27273718A63865A881A63502128483576291220481416209241954304A929361208A4A6818806A7611156507A882491A28107111A45A7234336476811340A1620A7624A99670982499516657A7157AA54666666A628465784891100220853A94278046706A35148A70778395836269AA9317180611A5171035112050730A658340757871350460446A5841383A97A113A88800AA2817861516972678404A263699438242641A4999A727431887940217336A5480181828122A291279A9638138A475125207A395065491516756995269953780A39546769A95755797183427242991485A00516927A7601222A52540532434329455042372133A50330A1587945177543369A9A80951653669163743827A788A5037749A4AA9A9909417704404AA5973167913A76A890A0A720199440515232A571581349A2049405723194440723A0273338A381644913189A4092599183404340386292458225381058A5AA7043451220799A9793578847045418A21236A14488A6291512073012186577418389508876448178280AA0AA337A5897033033344006155                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
e^2 * pi^2      5      1      1        -3.1901476853246353   314     242.430420130102401002014333014332110114440001402034332113144031203233142432444431112203004221102210221102043003220021223344124001312031100330144433334120122431434441133311010304040324203102124214313334441304443420122403024321422323114043233304204310211144313332310100300130320412132244422342321130242402424232331041034444444421333321342044020431303324321411044024422023003340320343412423403211011011424421003111214201203401203233131100314133002320041313432101134112233240120340213031022300041130300114110241400242033302134234204204234232310134400310024030420231023442432200133210021304233300412223304324200110122410003422123231121034430032030242200434210333122011422040124044024043324011310414002403344102312211413133304342403222033013240440233340342012411302323401030340342341202134111332110321033122022023222333021343213403242344441440143200123330020321421434031123141100203420010132401322113033210414414142242244440330320211421142104311330023301113020042344040134121021221331433031311102440132104231333300430023120104344421413124342300200042423104244402013122234110134010311341334201104133003232040141402203004142044222013010121411024203112322101230223414223243044323013212330103034131122124114211412201213223212241200303044121200412224043441334422102323011313101244022442030320402234001444021212243222213134243403444234112323310114342334101402212021240120300304221244022014223331233313243042244440022311404324131020324243413040333221220204310122032421203111000333232140014122141302223404320030034204043313130424120141443432404241433244424443434314422011412300243144120131200324222144033003301322222224422122403310134134241000414402013332212022201341144120011004003103213014322313302004034223321432143311310421020414402334124012112033133321022121124220030014434223313334142444201142024424041401122041144020202023212304223024404330034040441040232434104312321222101113032230113234220024333114031303044042040332412340431140231400234132241043302240211002041001221020011344243443130013412224133444210234031430130234243303141344024044402320043304322130012341422243221130321122022203022440414404022321001210422201331241301420044400224422242313104231144440220124042132033430141001040042333232440330033210111224232303410440441224220203002440044240400221342423203420340223202323144231331234242234343431232410104332331114323004434121413420343031304442132142431014224012202004322123043014012140301312024422244130020332410133341312142400144201044034203221044424023041131334321304300020202202244432112004144012200333141244024410333011014034141011041040034204214232333023230231112001310232430023133212302004100043422330110323432112044420440424442203422000124143314343132432334212130334440403143300203003003000114040101120442333412113121123323144104000033240202222402402420032113201002124104211002224211033241243203323011134204224313303010144304044310124022323312434103430303001143220332420340323313133402443031032140332100013223011403330322042041233413303104004034014302210010220231234044203340423402101022412424011143130031212011134230142103304003344321120111030444031233321330202031303131112112032031002344320331411300320302000112000301412400003232431331404121321040003000244110134313041240023124141104413304021303434024420142301041002341122003042343103200223202044410323130214120414334402231402321244300002114421033342041243321100112431440144312012344224221332102440441022001123311431110301400331442111000233410133223210013101134234243024404440404413340320124
e^2 * pi^2      5      1      1/2      -3.1901476853246353   314     121.212432312301200223232141232141030032220000423242141031322013101341321213444440303324002110301102333023244001332233111422034223131013022412322214142032311213214443041403002402020134324023312104404142220402221432311201234410433411304244114124324402330322131413402300122312410203313344433421133040121201212113413020242222222210414133143244232440401412133203022012211011224142410144203434201330230230434433001303104323101423101341313022404314001132243131441023042031114120032420104013011122243040122304302343200121014123314342102102114341130042200130012012432340234221213322314102233124341400203334124412100030033430001433311340310242212241012343322442102414033230433242312022012021412003130204223424144301131103204041402143424111014004120220114142421003430401134200240142421143101042030413302410241311011011333414010421331424121144443220044100034140010133210442013034043022324210002313423133304014102432204321121122220140132330433043302130412234123031232243422020042033010333140441240403023442313302113141400212234032302144433204034421122322243434024344423231311114302314230130420414323024314001341020043201101224321022111004002310430234324031133300340111432111344022134004103412301242040311034304330431100331334103343100124022033100203334244220414433301134003131300344233443240132423342000444233103344111104042121424222114303411402304421142023201103233120032400124333122011004334140341404121243344442233403202134313010134344204020141333110102130033241210324030222414113320004311043123334202132240014324244131312434310043221441202120441344434444214404433230431122344044310040322412111044241224123133333334433311201402314314343000204423231413331011100420322032230224224024104004411131401002014334133213321403130210232432201142034231031014041410233310312110012232214334131414321222100321012212020423033243044232323234103402111234424412242020220242341214302131133111023031241112304114332234414032013124022021020141203420213042340422342041120244123342330223243000333010003144344221312231431112041444330114240440040114344124043144234244423410021402133312231143211121333040133033233324011220204424233410223102433323140343123210022200112211121131302113044442332312021041014212320223020021141341220140014102303112113401430220220334332324001220022120200110421211324210142334101134044340413114343342144213113430024413413032134002214310431432421240402221041043440232112003323224411034021232003320123131012211122040010141202314143131043422322100244242101333022212011243040414410402122232323323344441031002044231100141320344234430141230232014320230243020014324332113414011340113031000402341212234041331123224300021433412302411441031022210220212221101433222312044132144041213414331040142220201321400101224001222304242300310221141431031310311411322024222241342323333423423432241031323001034302103001112103014120344101411230314324334404124002322124244402312011134131214301440124000321332413432420134131314201221240241042413300004111230424140133243243114204124024224242004401102230110113114244324142434201023011203434230321312240331003042112321024124224144410310030240222013114133140101013124040303303241013001144410140430400132401000031000123203422224113440413202033133020001222344302314404020342234034320302204124233124214234432321123020223420311001243421301322334101022202411312332032432142201113201133122122223304433014143243121410300031213220044403231144334333141023442443011000311403213030123200140443303000114202314111330004023042114344012202220212001441342311
e^-2 * pi^1/2   5      1      1        -3.3341514608436027   44      0.104443011430102133204321401442214141020002232222222110132342002301230434431043014110411413043303340242034121000430402341401401121031140423341311133031003120431311223234432113430411434203203331334032044041004331434232443404401013103323202421430342022444433103121220041334040210030311041432222413432214320121004404001132101224042312010103444242343420101134020314004432424313313324312120120134243221120433432323212430421044101412214422423332131041034432320233230042103000013122130311312231012242313000422022444134103021301210021403220131430343044414333103200034323421321414444000131213241312322313104020003410143123341431414234243313421211044242313043320403141213311324102022024030111314232324344231423004311021034013303331303003141340232141034012104410042003221414234202243132221120444004424244023230444340240040110220003413200310342401100010340110144413100212213201422012241111101420311442124304300122404412231222214422200201442020413143124310442120133313010322002444331421224011210341243113214140330403340134001213040032210120413221221133420014123332321300033414440212211200340343404243022113021340000421023104410004000104143043413423401404141340314221312014341324414220311133021041201403010143121423342124234244201422122112211003204231232431440212433404313323032401204411434440424432243412304232032240442210140010020044140042313012143141430042242000102022041433320232343231341033103220201304203003114013314134443343430314140421340102004014020433144043221303340324042141432012020321220102403214334302403121343204113343021102323403233321403132022341121221023302214032034311110132204241101241210411023102344444011203101413420443243311042201344111400033220304431444243144414330102010424200312110420033033343140130432144242220124303032341414414302034431413020234141132113412230043330411242423032322420442343111341120141440442011244403103204414032120412121130320133132132210020231102120130440311321301103333301034442033130402042022022043203344440421132103233133030120334301121143424130034243014303112113313343331121040420200014442111112211302244303320100244333010101211303113200131102320424302424043210031412211344440214101140044404323340121424123203044123403244412303224401331413400202121142440003103212021244311144423320024042203002443202041132031311432042043310040330320424130114434443033222324311143013014310101004022240230403341320433430043412233244022242443111423302223323304041010311324124011031102121200111044004401013013302341003323442102344410330330003140340343031220410211302210133012312323411411242322014002011313100014104330320213342013134034314431001230222242331314404304201103410332424021044121102300113414042411434313443132021204024003122334314430220104042122144411434014341004203344134310103134204341404431204101132210142100133400111432213142441301144301040430302041041241243234014130014100244430222221124002221304323443440043202020123121212210214140114102232302142144244423320233332200100332340112000011223200232400330132112024142040113342030232111420043322421232304211121233411340122421320320442332312300102100134012004321032041304122121442031113324111023301202141044433041341234221122013311011424334310130200333001314042044210001220103400134243224011240444020022312314442410122032243402220331310204240001422424424413010333323314202412042100120041333313420113402001313421004004002110314244341014000110022411320104333113030303412430004113001411313030111134200013103001344303001123304432042403103441223240123422430441041000424423013324  
e^-2 * pi^1/2   5      1      1/2      -3.3341514608436027   44      0.024444003212301041324410423221104320232223341111111030041143223400340214440244004302430431244124142343242033000212423420423200310240320211420403041240224032440403111342213304212430442101324140414241022020224413214341221424423004024134101210440143233444441301310332243142020102240130243213333431441104410033002202000313300334243403230024222121144210023042010132002213434404131412131032310042121333032441441134103440210244300431104433434141040243014441132341340021024000004033312403131113003343404000211011222042024010400330010424110040440144022204414024100014411433133204444222313104120403411131302010001430044034143213204342121404210330244343404021410201320331403134301011012012303132113412144340434002130233014231401413124001320420113320242003302202243224110432114323344041110310222002212122011340222142342242302332224204100130143423022230142302322204022331104100433231120303023210130443312124400033424431113111104433322323221010204044034402443310041404002411001222140433112003102420344031332042412424142314223104020013330032431333110314210004311413410400014204442331103100142421424344011031233142222433011302202224222302044021431434200424320420132110403232143134432110130314010243100424002321310434143312114344323211033303330224102113113440442331214202131411241200324430442220212213344203402113241120221102320002232244320021131231044043212243343222301011020441410113421340420241301332323124324001304231404314444144212404320210420023224232010214044244110401420134243320441003232410332301201332142123424033144102031421233023411424114133201313233420310333011401104241014403030041102120300343102430234023422222003101300431432444121403021100422030422241332402213222121322204412301002434322403302432241241421320040213322121110034401241143204432123242213204010114320313304203340021412430343434013411210221144030420310043220221003122201301324432013310203310312410041313313330010113023310040220130410400301414123014443241312423243233233244101422220210313301341314012310142123033044212040014344004401303304131421413033020210100004443303031103123344401410022344414002300330401304100040301132434401212021330013203330422220104300320022202134142310434311324022034201344431124112200413204200101033043442224024103233122130322211410012021101223444101020313240403213243244130020140132434312304442221241333412130321231232130023002011120112424143132441440021431114122011121221303211401111411402020230130412034230240301033100030244224423004004123420224134221023422202412412224042420144013110202330401102314003403411430430343411004223230404022232024412410104143231314242132213000340111121140404424402100301430141212010244310301122304204243430442131444041010324234224033414404440110024243311044430442004420224324144314402301314324420424440324300313330043300041422303213331321220400322123020212401020243120344114232040004300122212333333034223333124411444220021323232311310331102332042304301113401043322122211410114141100022413420031000003111322341200140041031012043242304143240113303210021411210341124330310341430420033433132410221141131122301022314231002133013243124311033221013031412030234123101043022214020420342110311004130230434414402312322414000404243244330000332301422314344112003120222010011131132221202311013344201110140402324342223211212212204002414134132101203243300032243141404210031423223131433002002001030132122143004222302233430410024414031240124203440002031223203131240030314322231301223144401223034124441021201301443111342311433440220243000201330344204  
