Constant   Base   Exp.   Coeff.   Minimum Log10(P)      Index   String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
pi         11     -1/2   1        -3.3331516402756685   904     0.622A332988A375549042206537727AA32803851A3322896489260378813841721225A7746972067681A54046412A7694A12650916877A9407057925061A802748545833577213A009555A150354262750086029A173493A2249074A5A24A76AA45226897189209988306328682132AA447189183561884139A933373433695653A0992A3843436716455A2329901A20A6AA484562503192880172167917A737996A4409A42954745891A579381A619A4727236130635660010601252A7A195116179346194134A40A23266A1A003227384010312061461050A3A3014910863938255647008764938A59759450574A630A7A17263051541840555836A4927401249671A4882408052104A791504153245A91956740675007861646535819A628354A81243030255A04828155417730664989485495A6441925143AA8753906387404700606949091299752AA9969874467707717A53A3514078699359832872A30730578147A9242A11A4146452AA95064129080054AA1143A44884089A4469561A921693502228A0255065161867A610504796A00918309458022AA597129836667460A8959233A956280A80918668129175620A2045501867775870A822798A4265846466666657856503235791A45301A274887582511A80423709433267424A1540437071A2828366A74163783860496706711A7960757942678817138795849727958146215647A7305657118A4AA8A2828580602860A1AA069634357837A668A2968A43486347235106A553159621470881A42A437633668785922044A98672847248487803252851A07109AA858A26891637422A40628336407576343341532047303297972665AA69610A9802676672A60148668546131938188084273A007672A3379A1355908A44960326698569A8355657396206612254180935646537A365140831420099A25440511395879330988122730A8A4541542A5813A49049894106317843A45758853A144566674AA7A52067465A5A4A819281040631254988727632987406A000935556A578A5A48A59693808421101791A6228451996A6903337003A514352380899261219192745346A6417641525A9027A0A7A67A74168659411AA107A87A13211288020121899A111055991257072021402A829A163347445317A32795A15308A1A9230A896A11A88228171492A208175433A4523852A2874182455654309391789A8010402A21465A0205126791457251779797660475219A7465664A2376761A1A02988206201907A966121339197704084479304280316259265103231444A7996175AA58AA5452A32801787A3028A057A3A393422411844193708A971212409568544020030320904634056A343812208A845A445547885713940217191272A012AA93A75339453460734698498301226379766875231793043A68A933810035A711280181208630485681508052444845856A9140414190A022164A3368987343930A342441479005A47024476274048209044A998889305A090349590609379A2017934AA6A9575516533698559720175866A428A83199649408891952A4707529142061361A8631059623966489592053850092167
pi         11     -1/2   1/2      -4.374453933750925    904     0.3115171499A73827A021103273913AA71401980A71669A3244685739961976366112A9378A36589340A82023206A9347A61325A08993AA203583A12586540137982297183910750048285080182131380043014A6372475112459252A67A9355226689A364465A499703169896616AA77909A097286442074AA171917718A2881A5A46A74217733632285116A4565105355242286801646995636633A095373A48A775A5214823784465294740A864A7913673070318330005856126A950A260863A178647617A75A6713350A55711374200570658623058051A7007A0598747412832355993247452A3847802925315A9509131580820975828418A7A13756124890A7996759581057A946257627122AA0A28920338003986323272964A869727A96121570128502414082763915887A4479824853220A12621AA992745874375790030347A04614A381554A349922339039095275180759434A184971436A7037029407954676A60A7623226AAA2587614595582550621A7799759A52234830AA108A18011145012803263098953058023A350046415A229566AA84906A41888923054484671AA28695A95A098896146383105102280098939299054113A4521329787888888839832571183A0A7815651379992968065402119047716892125082021903651414188A92087397430248903360A94859294768944090743A297A36948407866287953702883609A7AA9A696984030143050AA58A317729419533451489A77243179118058A8270848662359965215219317334398466577AA4336979124243957126980A5905A55429A689A0873766A758697187592931771762710237016A3A36888553486054956893336A85624334278616474099597691A559336A7194A6182A04522485713349834A97283291A3103306682095A18323273A73262041621004A5127758061A2994715A44066915A9A782082152961A7A0249A2058709421A783844275077833337AA9526589232A852540A1405758706824999138714992035000472828A839A852452A347404210600946531142264A35345717355752621811959A468610A0A1378178A8763876268545695053A8953763432A20655059543A616606995656109A4A6060284A0683591010756A96A5087179222709516948508159A6546705448A60A99669636246A65963821752267426A699209678288215A1A0944A9560201510788501026133A078368093A3A3885792664A9232887A6738930A6501499658656459548861071A0A390204223A15769570868468805711622253A486385529AA8226A71400943A7014502951A7472112064220A19045490661204834277565570165A023175835177406659A9785222823998361A201090A06915006AAA1A9271A2272303723497A41561131949334381163A15775345471960018536069564065987024289625958122242298354620207645A56663251734499177470517677623A002A79012238692024104577AA4999A158504572484585A194A6563A17AA8AA29280881734982A365638433521454164A3247599A0A26A7903814621030730A987058486748879A2A102740A476783
pi         11     -1/2   2        -3.3331516402756685   904     1.1459665866973AA97084411A74354A9655075A396645681967510746527583342450A43928341242539A8091825A42799251A1732644A781310474A113A505395A90567043427901800092A06A85153A0161058933697794497139A0949A42A98A452683367418865611656254265A9893367357013658278A7667368672801A7918759758687233190094658703941A2A9959014A06375650334324734A374882988189857A9390673A047753A138993534712611702100211024A5A4937A2313476913782699819465229390064537580206241129120A19796029721617775500193016419776A084078A1039A161A49335160A2A8358100057299753802498233996548150A4209A472A082A6490A7380238123A014613191A70538A1556A9A524860605009095552AA83436121986795A980A188374A287AA63A77117638093011127971725883A5AA88286389243143349A796A28146287708565635961361045294A7485923982918A5AA7A1182571500A9A9228798965816898928013A743276A04456904AA11A313624A120A09482901735617905045AA083258572223911A6807467A801551A517362252573401419408AA03624440631A54548698520591922222204601A0647047398A6039539664054A23A5084731786652384992A8087313395555722A38317457610982312323A4811404785246533276480598354805291430194A361020323699AA69555605110561193A9128168704574A2269582698696169346A2129AA63081429316539859874167226460744089A862355934959645064A55A3913218AA606952673173845981155671814041686682A64093606584835220AA28121A8505242235A10296225A9126377536515853790142359674892700716989810652286028A57002037814121244A8351770191A74971A28156284018894A880A22780647661865245361A698A82A85A05279970986782116345879904065A79289022239AA49A4123920A099A5375520811624A98663541658638129001770002A046A0996A08277515842203473A14558A3882A27066730079A286A475168751243737538A692A1834182A50A705491A4A24A38326207823A9214A649264225650402436889222100872503134042805A558931669388A63496548092A61693A7461A682923A65455332975941533A86798A475A5956383549001A8617773468A50208059429209040A2524729034A344848421093A438A39202199474241393905865411403714A82124267738430815894760855063150751A206462889A4881340AA06A9A8A5965503464960569104979776844823588377316A832424818025A880400606417091681029687524416A590988AA946603277804333725359025AA77A3A6778A691136928598560245174842263A463476087A26A767520070A322550352416160960252A150A4889590602A72808283719044319967268636877619684882947010993048941538095417089A886667610917069807111774894034769AA2A803AA31A672860083403406229856A563881978166737A599313A57284112713A61621081478219680740A7705053266
pi         11     -1/2   1/3      -3.3331516402756685   904     0.20834846A2A8619167508021862463710A01290711082A58A3093862A04A14244081A99896980225A0718752140A9968A78217679662731397563090207274616551A11199804A73A55570538550946173A200A70611687081676171A81725AA890822A606680332A10210A2280483715242A428557A28786AA48498511231954A76A47128851224215570846A37A8035AA8A15581747A4663798059A427249A6971503350A55251A30719A4A07206A8982449410211957377574090A9A7A540579A489431411713A81095A7A738446128740104394157753A871005303A21312819216002995312A93256890198A94772706094754187A13919285A8A46137816960716645027544017267901418451AA4319613961739A2058954927A720A118AA0451010091A75282791879983958A668A18A57215068178873661867586613897393968A3A40A6990AAA696A251599762427187117876296A493284660A839839264163681470435052154736902140A3A0018AA77887152A13A33515A557AA4423117444670091759057A22720390163233767A103156380AA93240A64959615772A5681136920A0363A4295A0467992077075190065999929772809A671459289522222219A19538449267A891007098A29928177AA0144976884822508A791388602434646495A987949A12938A5975977A9A57619A50962A0604A26928A609A56415805589A983921977A35372A82829275746577073396948856286359670A5A35116585244903971910569441602A0714714994859662930801536A2246524528A2638454654339776AAA1A345A30586144713946485876199488487910752474832698221AA9694036A0096222472005295A18941068642A028824A739960A849A70491A3A35169384596A196AA119219869439578091427685589549A85905028414376A70915017786929A483A6640824772A891418835641353016A3140210628871561A29134151959617363543961593571727A464013947818A66609948329875A737685555A92671A8A35696863A1440379A43580A15433235A384860013541490863A3309407A430989115A9506214181AA3827036359A9879659314073402729A784404663800442A6A7777556A4092398007874728334211161518427109A57054767073083AA3234072A0827978A4707642551135181290A82987A089195510313062A72740138344159338017822678924542632699575254433615922170862257A7A746A2802074302732204411306997502889A4750A010581A459038447888A9A694257356735518348274266347467019A871311445042887A4976732407813A55A1887437474803015850197114A0443A3651A889189A29241313806067824700473687254868911576115A653283780949A622299084268388722AA48640011A977827427802947529227902754515289292367875050677008058A84966A2488683A85088789A37571600889946138A0767517332A2A4757030116930203126A8006311735AA56190591123291A6074256597146728433216876667A54716025467880204943658401A581322166930754A27847A62
pi         11     -1/2   3/2      -3.3331516402756685   904     0.93444A4377A002818063309800540A9A41057229A489789722936007675707A87338A60148A8645A12A26069619A5A31973976824760A860A63083763851040172686A53053204013283422052639402011904397AA7304337265748991A5A546789478A822869376A09497468749AA11527826A838216203A84A5550A548842596929A01650A9A79683434992584314A547168392048297657A87A08265000934A10694643270132284863012A383A153A8A91A0952990016357379A64287723808513830751A0698A39A42955A340016015A18637691621459A02181674030138296A5675973024890331208574946A6425394622262706283154A1840057373452A1769066623161A62776077A368A82884560A020107379697A8683A396A81A673645A038340714122808054644192317273349662837765AA758026402006150090A3181274390245538A37566A051052648045220661A385336A41A99A0AA086121652909972A0769679AA87640742665627541765A11770679466A3292A83248520334240382097792746491620708A401281468686589AA335199154445691523328A5A883966A668274467428029314306820274605875151340924639871414444443072975A353082A1245844017758692185106355130A4945637422606550A844141544A56240070190734509A72A6336586309462125202088718A963312138784164AA0842A727A1AA79969731090419142A9648950A8615649A244347A0A719515352164A27A2333876A6768464465594A9A2073288611A919A971537172065A37972296516955187994782400089A06396A5406585950A5077A306AA049908A944354A3371536594599A9A357719A181374830127667095595659A99A56397528812467335A39A372A3A6A829855893099189262668529698009A97761147630139438106217588762A46921189546A7A126226448675A18073786163A26165A130321804211299A01AA6478645698A34751284116063A19273775403A437560A40012A8284A307A3472488A301116317026284934167838A4A25A4AA5604776523566792937328284012514A4080407793525964150A465007A198861854166520974871976585732793971708338192A653032059A699423A515667A2644963342246798528A15234972A768967A772998668026504679017999756269128426468582623A65706044321434030773A08212A922609090436157883A569844199004592984043768638582665343731A58290506116708460965A2393294215A347667509338035487AA26799A41026209A042408645A02A63361816628551253518736132A18105855A048680695062A4510118867A7134668270772A758603252819544019AA85A57A5867A690AA6A3719145733956359A2023480846104A252A56700534A719658118673A071846776662366716872A52760620826958879744AA23755102A14509107708008A15036703956071312611A9377784634125A7332636856398580851AA4A885822424AA37288A8580319A4642514838973067782879A1510242763091A92A73A163339034417888307A9AA550252
pi         11     -1/2   2/3      -3.3331516402756685   904     0.4156959295A6137323A15043614917321902571322155A0696177615909928488153A88682850450913363A4281A8826A45434248215362784016170413539131AA3922388509A37A00030A75AA17913379401A31123263153241333A53350AA671545A1122506659204219455095732A4859856004956462A995985A224637A9A429932565A2448430031592974A5070AA6930053394992174851089853498A2832A066A19AA4A396133899913412A6854897820423803744038171A8A49A810489967862823327A52180A4A3758912563802087783043A7A63200A60794262553743100587A625A76502670386A794353111793A8364927737560A699127453281133218A053A880335247028358A3A98638127813378941067A9754A3419236A908A2020173A3A555473648857806A226936A0342A12534663721362406212768377782697981A2871AAA28294A30884148533632346415829976559211A57857751831725293086A0A42A93727042819790036AA446632A5927966A30A004A988462338892301734071049453407703164674249206301751AA76481A19808130435A025227274190717985809092487414313A370120888758435518A232907567A44444438937A75897524A672013186958755344A90289842659544A16A472766104869191980A864798925776A0840844A8A041389A181591109952756A118A01830510068A85774384496A735A55557540392043136782796601561708231A096A23205A48970783372102788310591329329879608215761502A7294491A48A56951758A91A8678442AA9396909610612893277919606413879659647213A4939565285443AA82780729018144493400A5809367821261859056549A378811A598A309739796A3277590829382A9237438627878045172854260067A98A6070A055828742A3172A0344627589957A2181549435A6728365701826A6032962804211566330139572682A3808133716A878130770333549918027794536A22118795658640A374260000A75233A69702826179288074898705192A8664709759610026A82971617966178149861867230A7A11428353A97553071708A8648207628136805358A458809217500885A2A444400298174785014639355668422312A35853218A030A9423136157A964681359155484699314184AA226A352571A55864916737AA20626115A35380275688307675034545246748A8516528803A4A8867130744331614504A4A39295504138605364408822612883A05668993A190210539907075894666A8A27850370236AA35695538521693923038A63262288A08566499842364814527A00936638739395060305A038322990887971A3A6673689574826275111245493009372634A9626723041230A1A6557451798A144587158525766345A996180023A844553854505793A574547053A8A2A56757472463A0A1243015106A5982294966257A5A16646897403310166879127691423A336659599403060232760406252A5011623370AA01371072246573A11385020832923558664326422249A933104A924650409787205803A0526443227613A9923345204
pi         11     -1/2   3        -3.3331516402756685   904     1.76889987449005535116618500A81A89821034589968468345771014240314A63676A10296A6190925951128138A0963837842549411A611A161574175A20803352629A60A64080265568440A5177804023708784AA3608673520396873A09A92467946A545627742917983926398A922A54552A575431407A599AAA19A965850827589031A1A8A482568698750586299A93325774095584204A6491551A001769921279186530264559616025975792A7A6A73917A5870031703748A18564347515A275613A3912869789858009680031030936174273142908904353238060275582A0240836049670662416039792A184A7791445153115562A9935801037368A593427122146313A154411449726A556590119040213748284A62579782A53A23719090756813282455150A9188374633536698215574420AA4050518040112A01719635253877048AA7697402290A20A519508A441213975A672983A8891A91612431A571883591428248AA64181385220153A8342092343124792296575A56495A406684807541844753919731413169802552926262068A966A3872A8890272A46656A0A657822A22553892385505762861254053911063A2A268174917863282888888613584096A61559249058803440627435A2116AA26199790173845111AA1A588282A89A01480130371368A18A35A167206161791424A404166336A816624276458319A91585A35493AA48828362170837285A81967A1A6130198948869491A337A2A6A431995494667642A2425918920079A894136566123A738A832A73334120974834581A327AA3648794548001689117829A8120607A19A1449612A9098716A7886A996732A72079088A897043389352739560254223180080208A88A01783A56524923670978973597A2A558600676187367515225A58285018A84412294160277875211434066415992742367A92A492514518962409351374613179513209260643508422588903AA19461902869693A255823111793753743A8079874011980025A555996149693496696022316330515597683245769995099AA0109441A47022475773655558024A2998150814476A508182A1991A01493866135A8321A41839633842060365477833315675375A1A6064108A2878479A3022495189816684492485A5692A469835A426824A435886225051A09247034888401527255851926055147A20311088642868061437915425A745117170871304657A02858838700907585808742617605521A687363A05570A11232315911820947765784309694223A1767506A964A9524889820514189084816190905A16713532155AA24A6A36371265935210600909625127A11598A20236624A3269225531435A4061064A5537A88038AA60A04A0624A271AA2973372903678017089404695159120994A5A02300A69A33820523623791335924422147223326359A5411141552806648389A9473AA205928A1721431501692A072307801132625123A7744459168250A36651726017860515A3A99A660544849A973566A605063899184A2957683612445564892A20485416173A75A379316677068834665614A8A9AA04A4
pi         11     -1/2   1/4      -4.374453933750925    904     0.16080907A4A919695010601691A075536200A40536334A712234291A486493188606AA194518844720541011658AA179530712A59A4755101841A61298820073A411490974603800241425956410707400215625319123806122A126A8954728113344A732232A7A49016349A3308AA93A04A5A369877659255090A0936451440A8523537663917316698063522880581826766989563234A28733175048191A79A938526624119422326A2375A987A9461891590164170002983068AA25A6859875094323863A92A890718052836073765583588431158402653559502A4379206971182A4712378151979401468162AA25A07084041049296976453A61928612445A94A3384840583AA23129313611550514465719557498711691487A98A3695486108356142567620413874629995223A412427110506866554A13784377383A0015723A578625196282517A46671A01A04813809592A217A6424907735357356A203A278935305386711355512993078482968258665394A384A8111797055059A640060780069571315A4481584011A725578762A66A288AA97A03520999A11582242336551434854850499A3078741602601140049A1A14A0276075226616A39944444441A416836097505396288073A4A14895882010645793634466125965664573262076445465991A3770124457185AA242A1479344775A03775149518A2420398869948190144185A53AAA5348A420156215805529A70936A20A27178079A53912163A064029A9690424331184A326626647091721A4233293AA7718A3A067677483613495A8458528214A89A50437388A9298A3643846A16390931360119008A7518999827243027A289A1718A983121721398632375A48493465284718A90A253096A5781124290717A417AA369714651601703341048509711691A91686576310557A8069384030A6A47908522033462AA5396596626A30A950124A658435A210A94197769259397171955481329A116A981275A62029299034124A4619907A46572555791414541A54267815179202105855A23270621132518178363728381310960A2A5234305A5A6194094543874386898228A2581A9A27387216A65882584821A8633034A288305A525303014250341846005928AA352599094666904808A2425962A53278902779A85AA488A318678A88487410926689213534A10489414410850A5A2254830100805944256013071A5941895A1A7519983A133254671443A8919A15A88007A4884328784824430590A5A74565766750838A290434234402906311127524319826A55411353620047753562256A265379106103211050A0227A03306579721392882900885011638418093758884AA398111411A49730A656045A58A080035550AA136511367019117A3A76286070A24717740631A62938178236485564273034832032A4356769A312A29611121149727865659322A833316809177A4639235809339311A556A945611198A10120578395524A4A62980229124229850A2532875095545514695996372496A732874217266227632516792A4A5A68A9457407866015915AA43584243379994A6A601375A793397
pi         11     -1/2   4/3      -3.3331516402756685   904     0.8302807580A127364792A087129733643705032644300912813441307187559652A7A662555A08A172671798553A655298A86849542A715458031330826A77263A97744765A18974900061A40A9347267478039622465162A64826679A66A1AA232A9092244A122074084378AA18036599608601009801915A8808609449174A89858765020948958600630758399A131AA27600A67798743395A21685A6986955659122938A999781267688726825A25A9684540847507388075333A6998A5209688246155466549A43519997406725017504164456087A4A16401A11478514AA7386201064A150A41A05230762A4786A6223477A5719754374011A2872538A655226643690A7A65066A49305570697A86175254526746782124A83A996837472A71694040337979AAA937196604512945277290685924A6921734271481142542574445528485395633AA955579961658295A67164691830558842007423A046043A356334A57616291985A77353085538470072A9892165A07548229619009A8659146766746033681320978A68143063192384974116033A3AA41953938515260870904A453538371334860517174963828627973024166640586AA369465714024988888876774A40683A49A2340263628063AA689A70568585207A899329935421209627373851A61948675044291581589A6908276893530722187A54029236903560A20126A60438758982A370A00003A807740862724554821030133154639182946410996831456734205465621072657658648115430412A05A3578973996A027A3406A73A6245885AA77827181211256765447381118276482081934279977801A55A887AA55451357035288976801A0517724542513607101A989746523A086961837848296544071557755A747387615464508A3355A8510124A86A11319100556385963359068915406880494352A97870A2355720303552A106581550842302166027803525597515267332A645261430666A98735054478A729442364802061819738510001A3A467A2830555134756513968630A375A6219318408120052A55833134821345298613623461A49228556A7A83AA6133316A619541415527250A7069906517433A0166095988880058533945A0291777002258446259705A64369061A7846271304A8192527072AA959287628359A945296A5033A00619732374A94115123096A75054026561423A068A8A492396A5A31A5650799A6623261388663128A099997757AA0827610A7188165451256579102268779370420A78713140679222A69545A0730472A97027AA75A43277746076A16514566916021988584719528A5490177217637777A110610907564587166483397A223726803955153A22248A976017735169A815234608246193A20038A34869289063305A50421690A881350047A588AA75A8A10477A038A930A7A695A02403934917919248602A212A0854579821504A093219268380662032264725427284796722080878061104654108114A59A023146731A90273213449203792275A041565747006218651844498A766209A7491A081846341050790A51886454127A874668A408
pi         11     -1/2   3/5      -1.0538291120672016   11      0.37A61A837540011076913483224392186046731186360A1731159003052290AA07A364671A21262405632471696201A082A39710A746AA026479115259A92389510571AA0213016713336096876A3823005146160AA9568359548963615201AA70A163143311281528481A519351A6627210999433775030165642220421A1176828118450426620A49A17A83767834A8662949A37463339700AA0A6999200037A84905A6A577227977856A0056378194387AA2A6A433A2229145153A91779731547871556965190614161A56001A166724501956A3059474A6840095505167893778286708A51231A14579303451A406483215A69754772477794419560022A2A187850936926979474255302531A27A99A1189040089251539398793385A4A996495918A6811390717099910219182A3129551363925559748AA967676A45224720036A7954996158984437A8089284648A99198A653026963787A2860883A6AA6A027504336A6078474A49844352602A54922552173046273069316271A1156557634301360A45996A53155191A290906A1A4499940571267A6635873A2883A6714A97A11424355A4942711084051776781283471089962467964A936037625A5728283A61834733968587911193189A60075234A307870258871264162259609902664878393943A8669822500802A186A6512035923479162527652303572A216A1274A3533948662561207762AA9839395703682A2834391A164879066A840A6140A6A95164AA20948633197A1574A9305626192238661969577A0274373AA506595074701A3173116A94A442A0A5A755388913A691606439045682042030A7906624180365A61441A1506592384618841452961954A2A778933049482238923AA6200382A9A10540513685A63734164A99A5667A3483735991049A9A4A54484397470630344A383770252967A0911A7152735AA720A7103103A7930195473756948199070193457510174933A622AA919791893A1A196499A49469162A32A308823861522486000565556412541407635856705035067699A81394978141A768644224630920A2270A338079999A449871A82546030A3654603942640422540835695660704303963508304567355381729477A32A3426567968A64A5A5386500498548416A1397627612114065363956527A4987511834932326462758953A6089105933399193455475A9229023A574A5823475162552788099036A23A2500A11644A56173A22401561168374A03789992658373520111464692929119039240A379A39724140927425A15458857663276186045474840176034846234258029949112205436512A24A1195490122401A054716469A8426707A05429362711069734301245765551661673AAA0200A8A054280442859514A6735A448018523141034026863212005002142073923273495A695119309269804950573421090252554A457982A6440A2AA92340620370306989140645928A3890293499052159753403605465135480566A3A010342AA8657899760A8859557AA01012A640398719A360790531113184A92317747915215651629135A2361731355698A10599564
