Constant   Base   Exp.   Coeff.    Minimum Log10(P)      Index   String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
pi         11     -1/2   1         -3.3331516402756685   904     0.622A332988A375549042206537727AA32803851A3322896489260378813841721225A7746972067681A54046412A7694A12650916877A9407057925061A802748545833577213A009555A150354262750086029A173493A2249074A5A24A76AA45226897189209988306328682132AA447189183561884139A933373433695653A0992A3843436716455A2329901A20A6AA484562503192880172167917A737996A4409A42954745891A579381A619A4727236130635660010601252A7A195116179346194134A40A23266A1A003227384010312061461050A3A3014910863938255647008764938A59759450574A630A7A17263051541840555836A4927401249671A4882408052104A791504153245A91956740675007861646535819A628354A81243030255A04828155417730664989485495A6441925143AA8753906387404700606949091299752AA9969874467707717A53A3514078699359832872A30730578147A9242A11A4146452AA95064129080054AA1143A44884089A4469561A921693502228A0255065161867A610504796A00918309458022AA597129836667460A8959233A956280A80918668129175620A2045501867775870A822798A4265846466666657856503235791A45301A274887582511A80423709433267424A1540437071A2828366A74163783860496706
pi         11     -1/2   1/2       -4.374453933750925    904     0.3115171499A73827A021103273913AA71401980A71669A3244685739961976366112A9378A36589340A82023206A9347A61325A08993AA203583A12586540137982297183910750048285080182131380043014A6372475112459252A67A9355226689A364465A499703169896616AA77909A097286442074AA171917718A2881A5A46A74217733632285116A4565105355242286801646995636633A095373A48A775A5214823784465294740A864A7913673070318330005856126A950A260863A178647617A75A6713350A55711374200570658623058051A7007A0598747412832355993247452A3847802925315A9509131580820975828418A7A13756124890A7996759581057A946257627122AA0A28920338003986323272964A869727A96121570128502414082763915887A4479824853220A12621AA992745874375790030347A04614A381554A349922339039095275180759434A184971436A7037029407954676A60A7623226AAA2587614595582550621A7799759A52234830AA108A18011145012803263098953058023A350046415A229566AA84906A41888923054484671AA28695A95A098896146383105102280098939299054113A4521329787888888839832571183A0A7815651379992968065402119047716892125082021903651414188A92087397430248903
pi         11     -1/2   2         -3.3331516402756685   904     1.1459665866973AA97084411A74354A9655075A396645681967510746527583342450A43928341242539A8091825A42799251A1732644A781310474A113A505395A90567043427901800092A06A85153A0161058933697794497139A0949A42A98A452683367418865611656254265A9893367357013658278A7667368672801A7918759758687233190094658703941A2A9959014A06375650334324734A374882988189857A9390673A047753A138993534712611702100211024A5A4937A2313476913782699819465229390064537580206241129120A19796029721617775500193016419776A084078A1039A161A49335160A2A8358100057299753802498233996548150A4209A472A082A6490A7380238123A014613191A70538A1556A9A524860605009095552AA83436121986795A980A188374A287AA63A77117638093011127971725883A5AA88286389243143349A796A28146287708565635961361045294A7485923982918A5AA7A1182571500A9A9228798965816898928013A743276A04456904AA11A313624A120A09482901735617905045AA083258572223911A6807467A801551A517362252573401419408AA03624440631A54548698520591922222204601A0647047398A6039539664054A23A5084731786652384992A8087313395555722A38317457610982312
pi         11     -1/2   1/3       -3.3331516402756685   904     0.20834846A2A8619167508021862463710A01290711082A58A3093862A04A14244081A99896980225A0718752140A9968A78217679662731397563090207274616551A11199804A73A55570538550946173A200A70611687081676171A81725AA890822A606680332A10210A2280483715242A428557A28786AA48498511231954A76A47128851224215570846A37A8035AA8A15581747A4663798059A427249A6971503350A55251A30719A4A07206A8982449410211957377574090A9A7A540579A489431411713A81095A7A738446128740104394157753A871005303A21312819216002995312A93256890198A94772706094754187A13919285A8A46137816960716645027544017267901418451AA4319613961739A2058954927A720A118AA0451010091A75282791879983958A668A18A57215068178873661867586613897393968A3A40A6990AAA696A251599762427187117876296A493284660A839839264163681470435052154736902140A3A0018AA77887152A13A33515A557AA4423117444670091759057A22720390163233767A103156380AA93240A64959615772A5681136920A0363A4295A0467992077075190065999929772809A671459289522222219A19538449267A891007098A29928177AA0144976884822508A791388602434646495A987949A12938A5975
pi         11     -1/2   3/2       -3.3331516402756685   904     0.93444A4377A002818063309800540A9A41057229A489789722936007675707A87338A60148A8645A12A26069619A5A31973976824760A860A63083763851040172686A53053204013283422052639402011904397AA7304337265748991A5A546789478A822869376A09497468749AA11527826A838216203A84A5550A548842596929A01650A9A79683434992584314A547168392048297657A87A08265000934A10694643270132284863012A383A153A8A91A0952990016357379A64287723808513830751A0698A39A42955A340016015A18637691621459A02181674030138296A5675973024890331208574946A6425394622262706283154A1840057373452A1769066623161A62776077A368A82884560A020107379697A8683A396A81A673645A038340714122808054644192317273349662837765AA758026402006150090A3181274390245538A37566A051052648045220661A385336A41A99A0AA086121652909972A0769679AA87640742665627541765A11770679466A3292A83248520334240382097792746491620708A401281468686589AA335199154445691523328A5A883966A668274467428029314306820274605875151340924639871414444443072975A353082A1245844017758692185106355130A4945637422606550A844141544A56240070190734509
pi         11     -1/2   2/3       -3.3331516402756685   904     0.4156959295A6137323A15043614917321902571322155A0696177615909928488153A88682850450913363A4281A8826A45434248215362784016170413539131AA3922388509A37A00030A75AA17913379401A31123263153241333A53350AA671545A1122506659204219455095732A4859856004956462A995985A224637A9A429932565A2448430031592974A5070AA6930053394992174851089853498A2832A066A19AA4A396133899913412A6854897820423803744038171A8A49A810489967862823327A52180A4A3758912563802087783043A7A63200A60794262553743100587A625A76502670386A794353111793A8364927737560A699127453281133218A053A880335247028358A3A98638127813378941067A9754A3419236A908A2020173A3A555473648857806A226936A0342A12534663721362406212768377782697981A2871AAA28294A30884148533632346415829976559211A57857751831725293086A0A42A93727042819790036AA446632A5927966A30A004A988462338892301734071049453407703164674249206301751AA76481A19808130435A025227274190717985809092487414313A370120888758435518A232907567A44444438937A75897524A672013186958755344A90289842659544A16A472766104869191980A864798925776A0840
pi         11     -1/2   3         -3.3331516402756685   904     1.76889987449005535116618500A81A89821034589968468345771014240314A63676A10296A6190925951128138A0963837842549411A611A161574175A20803352629A60A64080265568440A5177804023708784AA3608673520396873A09A92467946A545627742917983926398A922A54552A575431407A599AAA19A965850827589031A1A8A482568698750586299A93325774095584204A6491551A001769921279186530264559616025975792A7A6A73917A5870031703748A18564347515A275613A3912869789858009680031030936174273142908904353238060275582A0240836049670662416039792A184A7791445153115562A9935801037368A593427122146313A154411449726A556590119040213748284A62579782A53A23719090756813282455150A9188374633536698215574420AA4050518040112A01719635253877048AA7697402290A20A519508A441213975A672983A8891A91612431A571883591428248AA64181385220153A8342092343124792296575A56495A406684807541844753919731413169802552926262068A966A3872A8890272A46656A0A657822A22553892385505762861254053911063A2A268174917863282888888613584096A61559249058803440627435A2116AA26199790173845111AA1A588282A89A01480130371368A18
pi         11     -1/2   1/4       -4.374453933750925    904     0.16080907A4A919695010601691A075536200A40536334A712234291A486493188606AA194518844720541011658AA179530712A59A4755101841A61298820073A411490974603800241425956410707400215625319123806122A126A8954728113344A732232A7A49016349A3308AA93A04A5A369877659255090A0936451440A8523537663917316698063522880581826766989563234A28733175048191A79A938526624119422326A2375A987A9461891590164170002983068AA25A6859875094323863A92A890718052836073765583588431158402653559502A4379206971182A4712378151979401468162AA25A07084041049296976453A61928612445A94A3384840583AA23129313611550514465719557498711691487A98A3695486108356142567620413874629995223A412427110506866554A13784377383A0015723A578625196282517A46671A01A04813809592A217A6424907735357356A203A278935305386711355512993078482968258665394A384A8111797055059A640060780069571315A4481584011A725578762A66A288AA97A03520999A11582242336551434854850499A3078741602601140049A1A14A0276075226616A39944444441A416836097505396288073A4A14895882010645793634466125965664573262076445465991A3770124457
pi         11     -1/2   4/3       -3.3331516402756685   904     0.8302807580A127364792A087129733643705032644300912813441307187559652A7A662555A08A172671798553A655298A86849542A715458031330826A77263A97744765A18974900061A40A9347267478039622465162A64826679A66A1AA232A9092244A122074084378AA18036599608601009801915A8808609449174A89858765020948958600630758399A131AA27600A67798743395A21685A6986955659122938A999781267688726825A25A9684540847507388075333A6998A5209688246155466549A43519997406725017504164456087A4A16401A11478514AA7386201064A150A41A05230762A4786A6223477A5719754374011A2872538A655226643690A7A65066A49305570697A86175254526746782124A83A996837472A71694040337979AAA937196604512945277290685924A6921734271481142542574445528485395633AA955579961658295A67164691830558842007423A046043A356334A57616291985A77353085538470072A9892165A07548229619009A8659146766746033681320978A68143063192384974116033A3AA41953938515260870904A453538371334860517174963828627973024166640586AA369465714024988888876774A40683A49A2340263628063AA689A70568585207A899329935421209627373851A61948675044291581
pi         11     -1/2   3/5       -1.0538291120672016   11      0.37A61A837540011076913483224392186046731186360A1731159003052290AA07A364671A21262405632471696201A082A39710A746AA026479115259A92389510571AA0213016713336096876A3823005146160AA9568359548963615201AA70A163143311281528481A519351A6627210999433775030165642220421A1176828118450426620A49A17A83767834A8662949A37463339700AA0A6999200037A84905A6A577227977856A0056378194387AA2A6A433A2229145153A91779731547871556965190614161A56001A166724501956A3059474A6840095505167893778286708A51231A14579303451A406483215A69754772477794419560022A2A187850936926979474255302531A27A99A1189040089251539398793385A4A996495918A6811390717099910219182A3129551363925559748AA967676A45224720036A7954996158984437A8089284648A99198A653026963787A2860883A6AA6A027504336A6078474A49844352602A54922552173046273069316271A1156557634301360A45996A53155191A290906A1A4499940571267A6635873A2883A6714A97A11424355A4942711084051776781283471089962467964A936037625A5728283A61834733968587911193189A60075234A307870258871264162259609902664878393943A8669822500802A186A
